"course_code","course_name","course_level","faculty","school","units","duration","class_hours","incompatible","prerequisite","recommended_prerequisite","assessment_methods"
"INFS7410","Information Retrieval and Web Search","Postgraduate Coursework","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Practical 1 Hour/ Week; Students will be expected to watch the pre-recorded teaching material before the Lecture.",NA,"INFS2200 or INFS7903",NA,"Project, Final Exam"
"REIT6811","Research Methods","Postgraduate Coursework","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Tutorial 2 Hours/ Week",NA,NA,NA,"Participation, weekly deliverables, reports and presentations"
"COMP4403","Compilers and Interpreters","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Problem Based Learning 1 Hour/ Week","COMP7402","COMP3506","CSSE2010","Exam and assignments"
"COMP4500","Advanced Algorithms and Data Structures","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Applied Class 1 Hour/ Week","COMP7500","COMP3506",NA,"Examinations & assignments"
"COMP4702","Machine Learning","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Contact 2 Hours/ Week","COMP7703","(CSSE1001 or ENGG1001) and (MATH1051 or MATH1071) and (STAT1201 or STAT1301 or STAT2003 or STAT2201 or STAT2202 or STAT2203)",NA,"Written examination, assignments"
"COMS4104","Microwave Engineering","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Tutorial 1 Hour/ Week; Practical 2 Hours/ Week","COMS7104","ELEC3100",NA,"Examination, laboratory & tutorial assignments"
"COMS4105","Communication Systems","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Applied Class 1 Hour/ Week; Practical 2 Hours/ Week","COMS3100 or COMS4100 or COMS7100 or COMS7105 or COMS7410","CSSE3010 and ELEC3004",NA,"Assignments, practicals, examinations"
"COMS4113","Photonics","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Tutorial 2 Hours/ Week; Practical 3 Hours/ Ad Hoc; Practical occurs 3 time during the semester","COMS4103","ELEC3100 or PHYS3051 or PHYS7250",NA,"Examinations, laboratory reports & class tests"
"COMS4507","Advanced Topics in Security","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Seminar 3 Hours/ Week","COMS7507","CYBR3000",NA,"Seminar Presentation and Participation, Project, Examination"
"COMS6200","Computer Networks II","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Applied Class 1 Hour/ Week; Practical 2 Hours/ Week","COMS4200, COMS7200","COMS3200",NA,"Examination, Assignments"
"CSSE6400","Software Architecture","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Tutorial 1 Hour/ Week; Practical 2 Hours/ Week",NA,"CSSE3200 or DECO2800",NA,"Assignment, project, report and presentation."
"ELEC3310","Electrical Energy Conversion and Utilisation","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Applied Class 2 Hours/ Week; Practical 3 Hours/ Week","ELEC3300, ELEC7302","ELEC2003 or ELEC2300",NA,"Examinations, laboratory & tutorial work"
"ELEC4310","Power Systems Analysis","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Tutorial 2 Hours/ Ad Hoc; Practical 2 Hours/ Ad Hoc; Practicals and Tutorials occur 6 times during the semester","ELEC4300","ELEC3300 or ELEC3310",NA,"Examination, class test, laboratory experiments, tutorial assignments"
"ELEC4620","Digital Signal Processing","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Tutorial 2 Hours/ Week; Practical 2 Hours/ Week","ELEC3600 or ELEC4600 or ELEC7462 or ELEC7601 or ELEC760","ELEC3004","CSSE3010","Assignments, practicals, examinations"
"ELEC4630","Computer Vision and Deep Learning","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; IT Computing 2 Hours/ Week","ELEC3601 or ELEC4600 or ELEC7463 or ELEC7602 or ELEC7608","ELEC3004",NA,"Assignments, practicals, examinations"
